stl1f6_33	mFtl2f7_53	mFtl2f8_93	s3gf3_56	mFgtl2f6_45	mF3gtl2f6_45	mF2gtl2f6_45	s3gf2_15	stl3f4_16	mFtl2f7_93	stl1f6_2	mFtl3f7_39	stl1f5_1	mF3gtl3f8_58	mF3gf3_46	mF2gf4_218	mFtl3f8_78	mFgtl3f8_58	mFtl2f6_27	mF3gtl2f8_201	stl3f5_31	stl1f7_95	mF3gtl3f6_52	mF2gtl3f6_52	stl1f8_223	mFtl1f8_251	mFgf4_115	mF2gtl3f8_58	mF2gf4_17	mFgtl2f8_201	sgf3_3	s3gf3_39	sgtl3f6_60	mFgtl3f6_52	stl3f4_11	mF2gtl2f8_201	s2gtl3f6_60	mF2gtl2f8_114	mF3gf3_85	stl3f7_124	stl1f6_48	mFgtl2f8_114	s3gf3_127	mF3gf4_220	s3gtl3f6_60	mF3gf4_30	mF3gf4_209	mFgtl2f8_89	stl1f6_31	labels
0.0126582278481	0.00665557404326	0.00277469478357	0.0253164556962	0.0105379922352	0.0105496946141	0.0105438401776	0.0625	0.037037037037	0.00499168053245	0.0126582278481	0.00610094287299	0.0125	0.00277932184547	0.0133037694013	0.00332594235033	0.00332963374029	0.00277623542476	0.0133037694013	0.00611450806003	0.025	0	0.0166574125486	0.0166481687014	0	0.00332963374029	0.00387811634349	0.00277777777778	0.00609756097561	0.00610771793448	0.0246913580247	0.0126582278481	0.025641025641	0.0166389351082	0.037037037037	0.00611111111111	0.025974025974	0.00333333333333	0.0144124168514	0	0.0126582278481	0.00333148250972	0.0253164556962	0.00277315585136	0.0263157894737	0.0038824181919	0.00332778702163	0.00166574125486	0	1
0.0126582278481	0.00709219858156	0.00258064516129	0.0253164556962	0.0109606705351	0.0109748224661	0.0109677419355	0.0625	0.037037037037	0.00902643455835	0.0126582278481	0.0135396518375	0.0125	0.00323206205559	0.00773195876289	0.00322164948454	0.00645161290323	0.00322788896062	0.0090206185567	0.0071105365223	0.025	0	0.0148482892189	0.0148387096774	0	0.00322580645161	0.0032195750161	0.00322997416021	0.00451030927835	0.00710135571336	0.0246913580247	0.0126582278481	0.025641025641	0.0148291424887	0.037037037037	0.00710594315245	0.025974025974	0.00387596899225	0.020618556701	0	0.0126582278481	0.00387346675274	0.0253164556962	0.00257898130239	0.0263157894737	0.00128949065119	0.00257898130239	0.00129115558425	0	1
0.0352941176471	0.00338409475465	0.00169491525424	0.0117647058824	0.0135363790186	0.0135823429542	0.0135593220339	0.046511627907	0.0229885057471	0.00338409475465	0.0352941176471	0.0118443316413	0.0348837209302	0.00340715502555	0.00844594594595	0.00337837837838	0.00847457627119	0.00339558573854	0.0152027027027	0.00340715502555	0.0116279069767	0	0.018675721562	0.0186440677966	0	0	0.00337268128162	0.00340136054422	0.00168918918919	0.00339558573854	0.0114942528736	0.0235294117647	0.0119047619048	0.0186125211506	0.0574712643678	0.00340136054422	0.0120481927711	0.00510204081633	0.0135135135135	0.0119047619048	0.0117647058824	0.00509337860781	0.0117647058824	0.00338409475465	0.0121951219512	0	0.00338409475465	0.00339558573854	0	1
0.00961538461538	0.00770308123249	0.0042046250876	0.0192307692308	0.0168067226891	0.0168302945302	0.0168185003504	0.0761904761905	0.0660377358491	0.0133053221289	0.00961538461538	0.00560224089636	0.00952380952381	0.0063202247191	0.00909727081875	0.00139958012596	0.00280308339173	0.00631136044881	0.0132960111966	0.00280898876404	0.0666666666667	0.0388349514563	0.0133239831697	0.0133146461107	0.0196078431373	0.00560616678346	0.0048951048951	0.00631578947368	0.00209937018894	0.00280504908836	0.00943396226415	0	0.0291262135922	0.0133053221289	0.0188679245283	0.00280701754386	0.0294117647059	0.00491228070175	0.0181945416375	0.0194174757282	0.0480769230769	0.00490883590463	0.0288461538462	0.000700280112045	0.029702970297	0.00280112044818	0.00490196078431	0.00210378681627	0.0384615384615	1
0	0.00374531835206	0.00187617260788	0.0263157894737	0.00936329588015	0.0093984962406	0.0093808630394	0.0909090909091	0.115384615385	0.00561797752809	0	0.00936329588015	0	0.00566037735849	0.00747663551402	0.00373831775701	0.00375234521576	0.00563909774436	0.014953271028	0.00754716981132	0.0649350649351	0.0266666666667	0.0112781954887	0.0112570356473	0.027027027027	0.00562851782364	0.00186567164179	0.00564971751412	0.00560747663551	0.00751879699248	0	0	0.0266666666667	0.0112359550562	0.0128205128205	0.0075329566855	0.027027027027	0.00376647834275	0.0205607476636	0.0266666666667	0.0526315789474	0.00375939849624	0.0789473684211	0.00187265917603	0.027397260274	0.00374531835206	0.00187265917603	0	0.0394736842105	1
0.0352941176471	0.00374531835206	0.00187617260788	0.0117647058824	0.00936329588015	0.0093984962406	0.0093808630394	0.046511627907	0.0229885057471	0.00561797752809	0.0352941176471	0.00936329588015	0.0348837209302	0.00566037735849	0.00747663551402	0.00373831775701	0.00375234521576	0.00563909774436	0.014953271028	0.00754716981132	0.0116279069767	0	0.0112781954887	0.0112570356473	0	0.00562851782364	0.00186567164179	0.00564971751412	0.00560747663551	0.00751879699248	0.0114942528736	0.0235294117647	0.0119047619048	0.0112359550562	0.0574712643678	0.0075329566855	0.0120481927711	0.00376647834275	0.0205607476636	0.0119047619048	0.0117647058824	0.00375939849624	0.0117647058824	0.00187265917603	0.0121951219512	0.00374531835206	0.00187265917603	0	0	1
0.00961538461538	0.00374531835206	0.00187617260788	0.0192307692308	0.00936329588015	0.0093984962406	0.0093808630394	0.0761904761905	0.0660377358491	0.00561797752809	0.00961538461538	0.00936329588015	0.00952380952381	0.00566037735849	0.00747663551402	0.00373831775701	0.00375234521576	0.00563909774436	0.014953271028	0.00754716981132	0.0666666666667	0.0388349514563	0.0112781954887	0.0112570356473	0.0196078431373	0.00562851782364	0.00186567164179	0.00564971751412	0.00560747663551	0.00751879699248	0.00943396226415	0	0.0291262135922	0.0112359550562	0.0188679245283	0.0075329566855	0.0294117647059	0.00376647834275	0.0205607476636	0.0194174757282	0.0480769230769	0.00375939849624	0.0288461538462	0.00187265917603	0.029702970297	0.00374531835206	0.00187265917603	0	0.0384615384615	1
0.0352941176471	0.00609756097561	0.0020366598778	0.0117647058824	0.010162601626	0.0102040816327	0.010183299389	0.046511627907	0.0229885057471	0.00813008130081	0.0352941176471	0.0121951219512	0.0348837209302	0.00204918032787	0.00405679513185	0.00202839756592	0.0040733197556	0.00204081632653	0.0182555780933	0.00409836065574	0.0116279069767	0	0.00612244897959	0.0061099796334	0	0.0020366598778	0.00404858299595	0.00204498977505	0.0182555780933	0.00408163265306	0.0114942528736	0.0235294117647	0.0119047619048	0.00609756097561	0.0574712643678	0.0040899795501	0.0120481927711	0.0040899795501	0.0324543610548	0.0119047619048	0.0117647058824	0.00408163265306	0.0117647058824	0.0020325203252	0.0121951219512	0.00406504065041	0.00406504065041	0	0	1
0.0243902439024	0.00784929356358	0.00314136125654	0.0121951219512	0.0125588697017	0.0125720272394	0.0125654450262	0	0.0238095238095	0.00627943485086	0.0243902439024	0.00837257980115	0.0240963855422	0.00367068694284	0.010460251046	0.00366108786611	0.00314136125654	0.00366684127816	0.0141213389121	0.00262191924489	0.0120481927711	0	0.0151911995809	0.0151832460733	0	0.0020942408377	0.00470465237846	0.00366876310273	0.00313807531381	0.00261917234154	0	0	0	0.0151753008896	0.0357142857143	0.00262054507338	0	0.00471698113208	0.0198744769874	0	0.0243902439024	0.00471451021477	0	0.00104657247514	0	0.00104657247514	0.003663003663	0.00314300680985	0	1
0	0.00784929356358	0.00314136125654	0.0263157894737	0.0125588697017	0.0125720272394	0.0125654450262	0.0521739130435	0.0603448275862	0.00627943485086	0	0.00837257980115	0	0.00367068694284	0.010460251046	0.00366108786611	0.00314136125654	0.00366684127816	0.0141213389121	0.00262191924489	0.0521739130435	0.0176991150442	0.0151911995809	0.0151832460733	0.00892857142857	0.0020942408377	0.00470465237846	0.00366876310273	0.00313807531381	0.00261917234154	0.00862068965517	0.0175438596491	0.0442477876106	0.0151753008896	0.0258620689655	0.00262054507338	0.0446428571429	0.00471698113208	0.0198744769874	0.0265486725664	0.0175438596491	0.00471451021477	0.0263157894737	0.00104657247514	0.045045045045	0.00104657247514	0.003663003663	0.00314300680985	0.0263157894737	1
